source,year,name,lastname,firstname,middlename,nationality,edu,prof,org,loc,country,lon,lat
ama,1907,brunnier h g a,brunnier,h,g,,,gen mgr,conlon gold mining co,grass valley california,,,
ama,1907,brunnier h g a,brunnier,h,g,,,mining engineer,conlon gold mining co,grass valley california,,,
ama,1907,conner j n a,conner,j,n,,,metallurgist,,parral chihuahua mexico,,,
ama,1907,palmer william j a,palmer,william,j,,,mill superintendent,,avino durango,,,
ama,1907,riebling henry f a,riebling,henry,f,,,mining engineer,,springs colorado,,,
ama,1907,saylor benjamin f a,saylor,benjamin,f,,,mining engineer,,asheville north carolina,,,
ama,1907,williams delos v a,williams,delos,v,,,mining engineer,,san miguel del mezquital zacatecas,,,
ama,1901,arnold albert h b,arnold,albert,h,,,bs,mit,,,,
ama,1907,arnold albert h b,arnold,albert,h,,,mining engineer,,joplin mo,,,
ama,1897,baird henry j b,baird,henry,j,,,bs,lehigh university,,,,
ama,1907,baird henry j b,baird,henry,j,,,mining engineer,,west chester pa,,,
ama,1907,bullock laurence n b,bullock,laurence,n,,,gen supt,charles butters co.,copala sinaloa,,,
ama,1907,bullock laurence n b,bullock,laurence,n,,,mill cyanideplant,charles butters co.,copala sinaloa,,,
ama,1907,hard james m b,hard,james,m,,,chemist,,mexico df,,,
ama,1907,hicks thomas m b,hicks,thomas,m,,,pres,arizona nationalcopper co,williainsport pennsylvania,,,
ama,1907,levings glenn v b,levings,glenn,v,,,mining engineer,,parral chihuahua,,,
ama,1907,turner george d b,turner,george,d,,,,am inst m,,,,
ama,1907,turner george d b,turner,george,d,,,mining engineer,west quincy mining co.,salt lake city utah,,,
ama,1907,turner george d b,turner,george,d,,,pres genmgr,west quincy mining co.,salt lake city utah,,,
ama,1907,campbell johnstone r c,campbell,johnstone,r,,,mining engineer,,slocan bc,,,
ama,1907,carry henry e c,carry,henry,e,,,mining engineer,,vancouver bc,,,
ama,1907,eustis william e c,eustis,william,e,,,mining engineer,,boston,,,
ama,1907,fernow john j c,fernow,john,j,,,mining engineer,,nelson bc,,,
ama,1907,gender harry w c,gender,harry,w,,,mining engineer,,san francisco california,,,
ama,1907,little w e c,little,w,e,,,mine superintendent,,cripple creek colorado,,,
ama,1907,maxwell john w c,maxwell,john,w,,,agent,progreso mining co,san francisco california,,,
ama,1907,richards h de c,richards,h,c,,,mine superintendent,,orleans california,,,
ama,1875,wells james s c,wells,james,s,,,em,columbia school of mines,,,,
ama,1907,wells james s c,wells,james,s,,,metallurgical engineer,,new york,,,
ama,1907,whyte frederick w c,whyte,frederick,w,,,gen mgr,anaconda copper co,anaconda montana,,,
ama,1907,williams henry j c,williams,henry,j,,,mgr,copper mining smelting co.,ontario canada,,,
ama,1907,fleury juan de d,fleury,juan,de,,,mining engineer,,mexico city df,,,
ama,1907,gwynne f v d,gwynne,f,v,,,mine superintendent,,piute california,,,
ama,1907,moodie j w d,moodie,j,w,,,mining engineer,,alamos sonora,,,
ama,1887,trask george f d,trask,george,f,,,em,columbia school of mines,,,,
ama,1907,trask george f d,trask,george,f,,,mining engineer,,new york,,,
ama,1907,arozarena rafael m de,arozarena,rafael,m,,,mining engineer,,mexico city df,,,
ama,1907,gamm h f e,gamm,h,f,,,mining engineer,,cobalt copper cliff ontario,,,
ama,1901,hamer a t e,hamer,a,t,,,bs,university of toronto,,,,
ama,1907,hamer a t e,hamer,a,t,,,mining engineer,,cobalt ontario,,,
ama,1907,koch w c e,koch,w,c,,,mine superintendent,,slocan bc,,,
ama,1907,mortimer g d e,mortimer,g,d,,,mine superintendent,,prescott arizona,,,
ama,1907,spence harold c e,spence,harold,c,,,mining engineer,,steeple rock new mexico,,,
ama,1907,welsh norval j e,welsh,norval,j,,,,greene gold silver co,,,,
ama,1907,welsh norval j e,welsh,norval,j,,,,lake sup m inst engineers club,new york,,,
ama,1907,welsh norval j e,welsh,norval,j,,,gensupt,santa brigida gold co.,ocampo chihuahua,,,
ama,1907,welsh norval j e,welsh,norval,j,,,mining engineer,santa brigida gold co.,ocampo chihuahua,,,
ama,1907,casper s j f,casper,s,j,,,mine superintendent,,mccabe arizona,,,
ama,1907,christian john c f,christian,john,c,,,mining engineer,,leadville colorado,,,
ama,1900,herreshoff james b f,herreshoff,james,b,,,bs,univ of california,sc,,,
ama,1907,herreshoff james b f,herreshoff,james,b,,,metallurgical engineer,,brooklyn new york,,,
ama,1907,herreshoff james b f,herreshoff,james,b,,,metallurgical engineer,,long island new york,,,
ama,1894,neuffer carl w f,neuffer,carl,w,,,ce,lehigh university,,,,
ama,1907,neuffer carl w f,neuffer,carl,w,,,mining engineer,,dunmore pennsylvania,,,
ama,1886,penrose r a f,penrose,r,a,,,phd,harvard university,,,,
ama,1907,penrose r a f,penrose,r,a,,,mining engineer,,philadelphia,,,
ama,1869,randolph john c f,randolph,john,c,,,em,columbia school of mines,,,,
ama,1907,randolph john c f,randolph,john,c,,,mining engineer,,new york,,,
ama,1874,rhodes francis b f,rhodes,francis,b,,,em,columbia school of mines,,,,
ama,1907,rhodes francis b f,rhodes,francis,b,,,mining engineer,unitedstates zinc co.,pueblo colorado,,,
ama,1907,rhodes francis b f,rhodes,francis,b,,,supt,unitedstates zinc co.,pueblo colorado,,,
ama,1907,wilson arthur r fernie,wilson,arthur,r,,,colliery superintendent,,bc canada,,,
ama,1907,sieboth alfred c florence,sieboth,alfred,c,,,mining engineer,,arizona,,,
ama,1907,williams w p frank,williams,w,p,,,colliery superintendent,,alberta canada,,,
ama,1899,galan jose m g,galan,jose,m,,,em,lehigh university,,,,
ama,1907,galan jose m g,galan,jose,m,,,mining engineer,,monterrey mexico,,,
ama,1871,kent william st g,kent,william,st,,,,lafayette college,,,,
ama,1907,kent william st g,kent,william,st,,,g e,,yonkers new york,,,
ama,1907,kent william st g,kent,william,st,,,mining engineer,,yonkers new york,,,
ama,1885,moldenke richard g g,moldenke,richard,g,,,em,,,,,
ama,1887,moldenke richard g g,moldenke,richard,g,,,phd,columbia school of mines,,,,
ama,1907,moldenke richard g g,moldenke,richard,g,,,metallurgical engineer,,watchung new jersey,,,
ama,1907,smith walter l g,smith,walter,l,,,mining engineer,,leadville colorado,,,
ama,1893,wilson alfred w g,wilson,alfred,w,,,ba,univ of toronto,,,,
ama,1901,wilson alfred w g,wilson,alfred,w,,,phd,harvard university,,,,
ama,1907,wilson alfred w g,wilson,alfred,w,,,,canadian m inst,,,,
ama,1907,wilson alfred w g,wilson,alfred,w,,,special courses,columbia mcgill universities,,,,
ama,1907,wilson alfred w g,wilson,alfred,w,,,consulting mininggeologist engineer,,montreal canada,,,
ama,1907,wolf j h g,wolf,j,h,,,mining engineer,,manhattan nevada,,,
ama,1907,bradley richard j h,bradley,richard,j,,,mining engineer,,new york,,,
ama,1907,brumell henry p h,brumell,henry,p,,,m,canadian m inst,,,,
ama,1907,brumell henry p h,brumell,henry,p,,,gen mgr,buckingham graphite co.,buckingham quebec,,,
ama,1907,brumell henry p h,brumell,henry,p,,,mining engineer,buckingham graphite co.,buckingham quebec,,,
ama,1902,forbes david l h,forbes,david,l,,,bs,ontario school of practical science,,,,
ama,1907,forbes david l h,forbes,david,l,,,mining engineer,,clifton arizona,,,
ama,1897,fulton chaj les h,fulton,chajles,les,,,em,columbia school of mines,,,,
ama,1907,fulton chaj les h,fulton,chajles,les,,,pres,south dakota stateschool of mines,rapid city south dakota,,,
ama,1907,fulton chaj les h,fulton,chajles,les,,,consulting engineer,standard smelting co.,rapid city south dakota,,,
ama,1907,fulton chaj les h,fulton,chajles,les,,,em,western assn tech chem metallurgists,,,,
ama,1886,good george mcc h,good,george,mcc,,,em,columbia school of mines,,,,
ama,1907,good george mcc h,good,george,mcc,,,mining engineer,,osceola mills pennsylvania,,,
ama,1899,hamilton j w h,hamilton,j,w,,,e e,,royal inst tech stockholm,,,
ama,1907,hamilton j w h,hamilton,j,w,,,me,,new york,,,
ama,1907,hamilton j w h,hamilton,j,w,,,mining engineer,,new york,,,
ama,1907,holtan l p h,holtan,l,p,,,mining engineer,,pueblo nuevo durango,,,
ama,1899,kimball fred l h,kimball,fred,l,,,bs,mit,,,,
ama,1899,kimball fred l h,kimball,fred,l,,,min met,mit,,,,
ama,1907,kimball fred l h,kimball,fred,l,,,p i mining engineer,,manila,,,
ama,1907,lubken john c h,lubken,john,c,,,mining engineer,,johnstown pennsylvania,,,
ama,1885,merrill frederick j h,merrill,frederick,j,,,geology,columbia university,,,,
ama,1885,merrill frederick j h,merrill,frederick,j,,,geology,geol soc of america,,,,
ama,1885,merrill frederick j h,merrill,frederick,j,,,ma,columbia university,,,,
ama,1885,merrill frederick j h,merrill,frederick,j,,,ma,geol soc of america,,,,
ama,1907,merrill frederick j h,merrill,frederick,j,,,consulting mininggeologist phb,,new york,,,
ama,1907,merrill frederick j h,merrill,frederick,j,,,phg,,new york,,,
ama,1907,tays eugene a h,tays,eugene,a,,,mining engineer,,fuerte sinaloa,,,
