source,year,simpname,nationality,edu,prof,org,loc,lon,lat
imm,1909,"aarons, j b",,,engineer,chaffers gold mining ltd,kalgoorlie western australia,121.466,-30.749
imm,1909,"ackermann, a h",,,engineer,british south africa ltd,bulawayo rhodesia,28.626479,-20.1325066
imm,1909,"acust, s b",,,engineer,preto gold mines of brazil ltd,barberton district transvaal,31.0449768,-25.7752265
imm,1909,"adams, d k",,,engineer,carters depp leads ltd,talbot victoria australia,143.7,-37.166667
imm,1909,"adams, p p",,,engineer,berlin proprietary mines ltd,bserlin proprietary mines,13.404954,52.5200066
imm,1909,"addie, j d",,,engineer,transvaal gold mining estates ltd,j springs transvaal,28.4630376,-26.2607243
imm,1909,"addie, r n",,,engineer,arizona copper ltd,house e c,-77.3803011,35.5787948
imm,1909,"addie, r n",,,engineer,esperanza copper and sulphur ltd,house e c,-77.3803011,35.5787948
imm,1909,"ftvlaxander, g k",,,engineer,rand mines ltd,kaslo british columbia,-116.9154503,49.9142499
imm,1909,"alexander, g h",,,engineer,state and transvaal diamond mines ltd,orange river colony,,
imm,1909,"adler, h g",,,engineer,new einasleigh copper mines ltd,einasleigh n queensland,144.0902878,-18.5237399
imm,1909,"aimetti, s c",,,engineer,ains worth george consett ltd,cleveland near johannesburg,28.1137309,-26.206845
imm,1909,"aimetti, s c",,,engineer,new heriot gold mining ltd,cleveland near johannesburg,28.1137309,-26.206845
imm,1909,"airth, g b",,,engineer,anglo french exploration ltd,j johannesburg,28.0473051,-26.2041028
imm,1909,"allan, f o",,,engineer,mexico mines of el oro ltd,el oro mexico,-100.1339164,19.8007531
imm,1909,"allan, j p",,,engineer,cape copper ltd,dtansul caucasus russia,45,43.5851814
imm,1909,"allen, p r",,,engineer,waihi grand junction gold ltd,higher runcorn cheshire,-2.738662,53.333366
imm,1909,"allen, p g",,,engineer,oakdale navigation collieries ltd,near am h,,
imm,1909,"allwright, k g",,,engineer,giant mines of minesof rhodesia ltd,gadsema mashonaland rhodesia,30.8958242,-17.6379366
imm,1909,"alston, r a",,,engineer,united main reef gold mining ltd,office germiston transvaal,28.1707794,-26.2258734
imm,1909,"ancarani, h h",,,engineer,champion reef gold mining ltd,d or french gold mining,,
imm,1909,"anderson, t s",,,engineer,blayney copper mines and smelting ltd,insurance bldgs sheffield,-117.0958829,32.7825011
imm,1909,"anderson, w t",,,engineer,rose deep ltd,germiston transvaal,28.1707794,-26.2258734
imm,1909,"andrew, r a",,,engineer,seville sulphur and copper ltd,mines seville spain,-5.98678,37.3775
imm,1909,"andrewet, e p",,,engineer,maen offeren slate quarry ltd,edward portmadoc wales,-4.133384,52.927842
imm,1909,"angwin, b c",,,engineer,lntholenvayn t mining ltd,carbis bay cornwall,-5.4692594,50.1948778
imm,1909,"philip, m b",,,engineer,stratton s independence ltd,u s a,-95.712891,37.09024
imm,1909,"lrmstrong, a e",,,engineer,waihi grand junction gold ltd,waihi new zealand,175.8406072,-37.3912594
imm,1909,"irmstrong, f e",,,engineer,grenville united mines ltd,sabinas coahuila mexico,-101.1334267,27.8647835
imm,1909,"irmstrong, f e",,,engineer,new sabinas ltd,sabinas coahuila mexico,-101.1334267,27.8647835
imm,1909,"rnell, r g",,,engineer,oriental and glanmire gold mining ltd,ralph gynapie queensland,142.7027956,-20.9175738
