position,role2
abstractor,technical
accountant,management
adjuster,management
admiral,other
agency director,management
agent,management
american trade commissioner with american embassy. reporting on european industrial and economic conditions.,government
analyst,technical
architect,technical
architecture.,technical
artist,other
artist on staff,other
assayer,technical
assayer and surveyor,technical
assistant,management
assistant bank cashier.,technical
assistant editor,management
assistant engineer,technical
assistant field engineer,technical
assistant postmaster,technical
assistant professor,other
assistant professor of metallurgy,technical
assistant superintendent,management
associate,other
associate professor of mining engnieering,other
asst. chief sampler,technical
asst. engineer,technical
asst. foreman,management
asst. foreman.,management
asst. general foreman,management
asst. metallurgist,technical
asst. professor of metallurgy,other
asst. sales manager,management
asst. superintendent labor dept.,management
athletic director and instructor in mathematics,other
attorney,other
attorney and counsellor,other
author,other
bacteriologist,technical
bank teller.,management
banker,management
banking.,management
bicycle dealer and manufacturer.,management
blast furnace specialist,technical
bookkeeper,management
book-keeper.,management
botanist.,technical
bridewell hospital,other
broker,management
builder,technical
business manager riverside municipal electric light plant,management
buyer,management
calculator,technical
captain,government
cartoonist,other
cashier,management
chairman,management
chef,management
chef le mission formmiere,management
chemist,technical
chemist for geyser marion gold mining company.,technical
chemist for oak lawn sugar company,technical
chief chemist,technical
chief engineer,technical
chief engineer indianapolis bicycle company. president indianapolis engineers' club.,technical
chief mining engineer,technical
chief sampler,technical
china dean fu-chung mining college.,other
city attorney. archibald,other
city engineer's office. pratt,technical
civil engineer,technical
civil engineer.,technical
civil engineer. deputy county surveyor,technical
civil engineer. mcdonnell,technical
clergy,management
clerk,management
college park,NA
colonel,government
commissao geologica.,government
commission merchant.,management
commissioner of public works,government
comptroller,management
computer,technical
concentrating testing dept.,technical
congressman,government
construction engineer,technical
constructor,technical
consulting engineer,technical
consulting engineer and mining operator.,technical
consulting engineer.,technical
consulting mining and metallurgical engineer,technical
contract engineer,technical
contractor,technical
contractor and engineer.,technical
controller,management
copper refiner,technical
counselor,management
county surveyor,government
credit department,management
custodian,other
dealer,management
deceased,NA
decorator,other
dentist,other
department of physics,other
deputy,management
deputy county clerk,management
designer,technical
died,NA
director,management
division supeintendent,management
draftsman,technical
draftsman.,technical
drawer,technical
editor,other
efficiency engineer,technical
electrical engineer,technical
electrical engineer.,technical
electrical enginer,technical
electrical expert,management
electrical superintendent forthe california exploration company (limited).,management
electrician,technical
electrician for nevada county electrical power company.,technical
electrician for yuba electric power company.,technical
employed,NA
employed with williams,NA
engaged,NA
engineer,technical
