"","year","cat","Nocompanies","Capital","capitalpc"
"1",1887,"MYB",784,70417264.1891,567881.162815323
"2",1888,"MYB",1142,139303809.9764,819434.176331765
"3",1889,"MYB",1258,132659348.1061,617020.223749302
"4",1891,"MYB",1269,159626366.3381,679261.133353617
"5",1893,"MYB",1166,158161457.4925,608313.298048077
"6",1894,"MYB",1059,228408606.5262,885304.67645814
"7",1895,"MYB",1197,247679774.8431,791309.184802236
"8",1903,"MYB",1384,253363863.0772,619471.547866015
"9",1907,"AMM",1716.5,0,NA
"10",1908,"MYB",2393,610585331.4497,1002603.17151018
"11",1909,"MYB",2567,754891597.6781,1116703.54686109
"12",1910,"MYB",2717,749768341.8714,1051568.50192342
"13",1911,"AMM",2138.5,0,NA
"14",1911,"MYB",2444,835356838.7005,1181551.39844484
"15",1912,"MYB",2366,883307940.0406,1361029.18342157
"16",1913,"MYB",2368,1226095751.8332,1409305.46187724
"17",1914,"MYB",2043,996828605.5857,1338024.97394054
"18",1915,"MYB",1601,705701077.8171,1804862.09160384
"19",1916,"AMM",1886.5,46206291.5116386,9241258.30232773
"20",1916,"MYB",1426,559059801.5032,1774793.02064508
"21",1917,"MYB",1424,618775901.091,1903925.84951077
"22",1919,"AMM",1361.5,45628714.375,6518387.76785714
"23",1919,"MYB",965,1005996775.32,2044708.89292683
"24",1920,"AMM",1733.5,3.3e+07,1.1e+07
"25",1920,"MYB",1120,643265045.8769,1832663.94836724
"26",1921,"MYB",1244,695924553.3896,1870764.92846667
"27",1922,"AMM",1847.5,1.8e+07,9e+06
"28",1922,"MYB",1194,811255664.0395,2278808.04505478
"29",1923,"MYB",1184,783183529.8448,2351902.49202643
