id.x,year,company,capital,text,loc,lon,lat,role,simpname,country,cat,edu,source,id.y,
9575,1887,Great Zaruma Gold Mining Company,1213488.598,H. J. Nicholls. Thomas B. Provis.,durham,-78.898619,35.9940329,engineer,"provis, t b",united states of america,myb,engineer,myb,9575,1
246644,1903,Bansu Properties Limited,486381.3,Engineer- J. I . Cordier. | Colonial Agent W. R. Spencer.,liverpool,-76.2177,43.10646,engineer,"cordier, j i",united states of america,myb,engineer,myb,246644,1
274158,1903,United Arizona Copper Company Limited,972762.6,Consulting Engineer W. P. Gumidge.,broad street avenue,-75.16955,39.9253,engineer,"gumidge, w p",united states of america,myb,engineer,myb,274158,1
281916,1908,New Junction Deep Leads Limited,121654.5,"David N. Shaw, Chairman. | C. fl. Broodbank. | P. G. Webster. Consulting Engineer H. P. Cleraes, M.I.M.M.",london,-0.1277583,51.50735,engineer,"cleraes, h p",united kingdom,myb,engineer,myb,281916,1
291502,1908,East Rand Extension Gold Mining,2919708,"Lt:-Col. C. H. Villiers, Chairman. | O. Brayshaw. Consulting Engineer Harry D. Griffiths, Box 171, Johannesburg. Manager J. Watson Smart, Box 9, Bokeburg, Transvaal. Secretary and Head Offices H. C. Ramsden, 404, Consolidated Bdgs., Johannesburg.",johannesburg,28.04731,-26.2041,engineer,"griiths, h d",south africa,myb,engineer,myb,291502,1
292058,1908,Egyptian Investment And Agency Limited,973236,"B. A. H. Goldie. | C. Stewart Coz. | R. C. Abdy, Managing in Egypt. Consulting Engineers R. B. Buckley, C.S.I., M.I.C.E. : Major Sir Hanbury Brown,",alexandria,-77.04692,38.80484,engineer,"buckley, s r",united states of america,myb,engineer,myb,292058,1
305635,1908,Transvaal Coal Trust Company Limited,48661.8,"Directors. J. B. Whyte, Chairman. | Lt.-Col. J. M. F. Hunt. | C. J. Winny. I R. Tweed Baird. Engineer in South Afrioa John Moffat, Box 1661, Johannesburg.",johannesburg,28.04731,-26.2041,engineer,"john, i s",south africa,myb,engineer,myb,305635,1
351657,1909,Jubilee Gold Mining Company Limited,1851852,"Col. Ralsigh Grey, C.H.G., M.L.C. I G.Lewis. Consulting Engineers in S. Africa Consolidated Goldfields of 8. Africa, Ltd.",london,-0.1277583,51.50735,engineer,"goldields, s a",united kingdom,myb,engineer,myb,351657,1
352084,1909,Katanga Company,14619883,"Henry D. Boyle, Chairman. | Hon. Arthur G. Brand, J.P. | Col. T. Harris. Consulting Engineer H. A. Piper. Salisbury House, E.C, and Box 87 Bulawayo.",salisbury,-75.59937,38.36067,engineer,"salisbury, h a",united states of america,myb,engineer,myb,352084,1
382112,1909,Pantymwyn Mining Company Limited,97465.89,"PANTYMWYN M I N I NG COM PANY,- LIM ITED. Directors Qualification, £2501. II. Mayhew. D.L., J.P., Chairman. I J. Lloyd. | B. E. Philips. | 8. J. R. Dickson J L. P. Smith. Engineers Matthew Francis j J. L. Francis, Halkyn, near Holywell.",london,-0.1277583,51.50735,engineer,"philips, b e",united kingdom,myb,engineer,myb,382112,1
